rank,priority,score,name,category,rating,phone,channel,demo_url,address
1,top-50,41.2,Hayes Jewelry Ltd,jewelers,5.0 (419),(352) 372-4106,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/hayes-jewelry-ltd.html,"5753 SW 75th St, Gainesville, FL 32608"
2,top-50,38.47,Lor Kebab,restaurants,4.9 (271),(305) 846-4506,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/lor-kebab.html,"12 SW 1st Ave, Gainesville, FL 32601"
3,top-50,37.66,Dolce Vita Bakery Cafe,bakeries,4.5 (373),(352) 505-6688,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/dolce-vita-bakery-cafe.html,"4908 NW 34th Blvd Ste 2, Gainesville, FL 32605"
4,top-50,36.2,The Bakery Mill,bakeries,4.6 (709),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/the-bakery-mill.html,"1143 NW 76th Blvd, Gainesville, FL 32606"
5,top-50,36.19,ONLY NAILS,nail+salons,4.8 (189),(352) 554-6088,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/only-nails.html,"3841 SW Archer Rd Suite. E, Gainesville, FL 32608"
6,top-50,35.47,Instant Curb Appeal of Florida - A Soft Washing Company,cleaning services,4.9 (79),(352) 316-3281,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/instant-curb-appeal-of-florida-a-soft-washing-company.html,"4923 NW 6th St Ste B, Gainesville, FL"
7,top-50,35.16,Ellianos Coffee,cafes,4.7 (494),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/ellianos-coffee.html,"1521 SW 74th Dr, Gainesville, FL 32607"
8,top-50,35.16,Bob's Barber Shop,barbershops,4.6 (190),(352) 378-8698,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/bob-s-barber-shop.html,"1205 NW 23rd Ave, Gainesville, FL 32609"
9,top-50,34.9,Bohannon's 1 Stop,tire shops,4.2 (144),(352) 377-3170,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/bohannon-s-1-stop.html,2215 N Main St
10,top-50,34.79,Best Motor Works & Sports,auto repair,5.0 (63),(352) 375-3525,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/best-motor-works-sports.html,"65 SE 10th Ave, Gainesville, FL"
11,top-50,34.73,Fades & Fros,barbershops,4.5 (194),(352) 384-1008,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/fades-fros.html,"600 NW 5th Ave, Gainesville, FL 32601"
12,top-50,34.71,ADVANCE AUTO REPAIR & A/C LLC,auto repair,4.7 (81),(352) 372-3294,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/advance-auto-repair-a-c-llc.html,"1224 E University Ave, Gainesville, FL"
13,top-50,34.11,Hoffmann Auto Inc,auto repair,4.8 (65),(352) 336-0530,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/hoffmann-auto-inc.html,"3020 N Main St #4, Gainesville, FL"
14,top-50,33.97,MATT K AUTOMOTIVE,auto repair,4.7 (69),(352) 318-3624,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/matt-k-automotive.html,"2832 NE 20th Way Unit A, Gainesville, FL"
15,top-50,33.7,Triple S Plumbing Co Inc,plumbers,4.4 (87),(352) 473-0083,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/triple-s-plumbing-co-inc.html,"Gainesville, FL 32608"
16,top-50,33.67,Contractors Supply,contractors,4.6 (71),(352) 372-6315,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/contractors-supply.html,3010 NE Waldo Rd
17,top-50,33.17,"M&G SERVICE PROVIDERS, LLC.",cleaning services,4.9 (49),(352) 871-2668,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/m-g-service-providers-llc.html,"2225 NW 19th Ln, Gainesville, FL"
18,top-50,33.08,108 Vine,cafes,4.8 (281),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/108-vine.html,"3735 W University Ave, Gainesville, FL 32607"
19,top-50,32.65,"No More Homeless Pets, Inc",veterinarians,4.8 (90),(352) 376-6647,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/no-more-homeless-pets-inc.html,4205 NW 6th St
20,top-50,32.51,Maude's Cafe,cafes,4.2 (550),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/maude-s-cafe.html,"101 SE 2nd Pl, Gainesville, FL 32601"
21,top-50,31.79,Noah's Plumbing Inc.,plumbers,4.7 (43),(352) 316-8005,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/noah-s-plumbing-inc.html,"Gainesville, FL 32607"
22,top-50,31.6,Resident Coffee,cafes,4.8 (206),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/resident-coffee.html,"4401 NW 25th Pl. Ste J, Gainesville, FL 32606"
23,top-50,31.55,Town Tire,tire shops,4.4 (53),(352) 384-0555,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/town-tire.html,7030 SW Archer Rd
24,top-50,31.47,Green Market Nursery and Landscaping,landscapers,4.4 (52),(386) 462-9641,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/green-market-nursery-and-landscaping.html,"5402 NW 8th Ave, Gainesville, FL"
25,top-50,31.46,West Coast Seafood Meat,grocery stores,3.9 (409),(352) 378-8119,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/west-coast-seafood-meat.html,"510 NE Waldo Rd, Gainesville, FL 32641"
26,top-50,31.28,A Whole Lotta Moving,movers,4.9 (33),(352) 792-2077,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/a-whole-lotta-moving.html,"Gainesville, FL (Exact address not visible in list, but located in Gainesville)"
27,top-50,31.24,Daydreamer+Cafe,cafes,4.8 (191),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/daydreamer-cafe.html,"1225 W University Ave Ste 100, Gainesville, FL 32601"
28,top-50,31.07,Tucker Brothers Wood Floor Specialist Inc,contractors,4.8 (34),(352) 214-4073,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/tucker-brothers-wood-floor-specialist-inc.html,1918 NE 7th St
29,top-50,31.04,Salty Dog Saloon,bars,4.0 (522),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/salty-dog-saloon.html,"1712 W University Ave, Gainesville, FL 32603"
30,top-50,30.67,"Aaron the Handyman, LLC",handyman,4.9 (29),(352) 895-1382,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/aaron-the-handyman-llc.html,
31,top-50,30.55,"Sunshine Accounting & Immigration Services, LLC",accountants,4.9 (53),(786) 357-8769,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/sunshine-accounting-immigration-services-llc.html,3709 NW 22nd Pl
32,top-50,30.14,A Touch Of Class Party Bus & Limo Service,dance studios,5.0 (45),(352) 514-0044,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/a-touch-of-class-party-bus-limo-service.html,2821 NE 20th Way
33,top-50,30.07,Locos por Tacos Food Truck,food trucks,4.9 (48),(352) 870-1377,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/locos-por-tacos-food-truck.html,"1712 SW 13th St, Gainesville, FL 32608"
34,top-50,29.99,"Northwood Cooling Heating & Appliance Services Inc,",hvac,4.8 (27),(352) 378-2829,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/northwood-cooling-heating-appliance-services-inc.html,4605 NW 6th St STE E
35,top-50,29.76,G Tattoos,tattoo shops,4.9 (45),(352) 451-4885,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/g-tattoos.html,"227 SW 4th Ave, Gainesville, FL 32601"
36,top-50,29.48,K-INACUP,food trucks,4.8 (46),(352) 448-1212,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/k-inacup.html,"931 SW 2nd Ave, Gainesville, FL 32601"
37,top-50,29.42,BakerBaker,bakeries,4.7 (145),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/bakerbaker.html,"407 SW 4th Ave, Gainesville, FL 32601"
38,top-50,29.05,Swan Nail,nail+salons,4.3 (212),,mailer,https://florida-man-bioscience.github.io/demo-websites/generated-sites/swan-nail.html,"1515 NW 23rd Ave, Gainesville, FL 32605"
39,top-50,28.98,A Clear Choice,cleaning services,5.0 (19),(352) 256-8034,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/a-clear-choice.html,"4600 SW 34th St Unit 141124, Gainesville, FL"
40,top-50,28.83,The Egyptian Cafe,cafes,4.8 (40),(352) 451-4386,call,https://florida-man-bioscience.github.io/demo-websites/generated-sites/the-egyptian-cafe.html,"21 SE 2nd Pl, Gainesville, FL 32601"
