name,category,variant,subject,demo_url,demo_live,has_phone,phone,address,rating,shared_demo,google_maps_url
Ole Barn,bars,A,I built a free website for Ole Barn,https://florida-man-bioscience.github.io/demo-websites/generated-sites/ole-barn.html,yes,no,,"1791 NE 23rd Ave, Gainesville, FL 32609",4.7 (84),no,https://www.google.com/maps/place/Ole+Barn/data=!4m7!3m6!1s0x88e8a6a761d140d5:0xf60e3150776d4aa7!8m2!3d29.6735819!4d-82.3017476!16s%2Fg%2F11bzy7ftzw!19sChIJ1UDRYaem6IgRp0ptd1AxDvY?authuser=0&hl=en&rclk=1
Salty Dog Saloon,bars,A,I built a free website for Salty Dog Saloon,https://florida-man-bioscience.github.io/demo-websites/generated-sites/salty-dog-saloon.html,yes,no,,"1712 W University Ave, Gainesville, FL 32603",4.0 (522),no,https://www.google.com/maps/place/Salty+Dog+Saloon/data=!4m7!3m6!1s0x88e8a3827f2c34d5:0x122abed1e98cd5ac!8m2!3d29.6522225!4d-82.3451883!16s%2Fg%2F1tdd62kc!19sChIJ1TQsf4Kj6IgRrNWM6dG-KhI?authuser=0&hl=en&rclk=1
Capones GNV,bars,A,I built a free website for Capones GNV,https://florida-man-bioscience.github.io/demo-websites/generated-sites/capones-gnv.html,yes,no,,"104 S Main St, Gainesville, FL 32601",4.9 (13),no,https://www.google.com/maps/place/Capones+GNV/data=!4m7!3m6!1s0x88e8a3c5ce670723:0x9241a19a37839f9b!8m2!3d29.6508171!4d-82.3253074!16s%2Fg%2F11lczjg114!19sChIJIwdnzsWj6IgRm5-DN5qhQZI?authuser=0&hl=en&rclk=1
Baby J’s Bar,bars,A,I built a free website for Baby J’s Bar,https://florida-man-bioscience.github.io/demo-websites/generated-sites/baby-j-s-bar.html,yes,no,,"7 W University Ave, Gainesville, FL 32601",4.3 (162),no,https://www.google.com/maps/place/Baby+J%E2%80%99s+Bar/data=!4m7!3m6!1s0x88e8a389caab3b1f:0x40def527b8adf103!8m2!3d29.6518232!4d-82.3253276!16s%2Fg%2F11q57znz_l!19sChIJHzuryomj6IgRA_GtuCf13kA?authuser=0&hl=en&rclk=1
Boxcar,bars,A,I built a free website for Boxcar,https://florida-man-bioscience.github.io/demo-websites/generated-sites/boxcar.html,yes,no,,"201 SE Depot Ave, Gainesville, FL 32601",4.8 (104),no,https://www.google.com/maps/place/Boxcar/data=!4m7!3m6!1s0x88e8a3ecd5559fb1:0xb0f5ad36f352d5c2!8m2!3d29.6449981!4d-82.3230266!16s%2Fg%2F11c5qr7rxh!19sChIJsZ9V1eyj6IgRwtVS8zat9bA?authuser=0&hl=en&rclk=1
Lillian's Music Store,bars,A,I built a free website for Lillian's Music Store,https://florida-man-bioscience.github.io/demo-websites/generated-sites/lillian-s-music-store.html,yes,no,,"112 SE 1st St, Gainesville, FL 32601",4.4 (148),no,https://www.google.com/maps/place/Lillian%27s+Music+Store/data=!4m7!3m6!1s0x88e8a3fe3d6019f5:0x5425f0209837b1fc!8m2!3d29.6505286!4d-82.3241546!16s%2Fg%2F11hyls40bw!19sChIJ9RlgPf6j6IgR_LE3mCDwJVQ?authuser=0&hl=en&rclk=1
Munegin's On 13th,bars,A,I built a free website for Munegin's On 13th,https://florida-man-bioscience.github.io/demo-websites/generated-sites/munegin-s-on-13th.html,yes,no,,"4005 NW 13th St, Gainesville, FL 32609",4.3 (152),no,https://www.google.com/maps/place/Munegin%27s+On+13th/data=!4m7!3m6!1s0x88e8a45bf273ba1b:0xff1c9d5a3398f4fe!8m2!3d29.689726!4d-82.3386137!16s%2Fg%2F1tdd62kk!19sChIJG7pz8luk6IgR_vSYM1qdHP8?authuser=0&hl=en&rclk=1
Balls,bars,A,I built a free website for Balls,https://florida-man-bioscience.github.io/demo-websites/generated-sites/balls.html,yes,no,,"1716 W University Ave, Gainesville, FL 32603",4.1 (128),no,https://www.google.com/maps/place/Balls/data=!4m7!3m6!1s0x88e8a378822785b7:0xc1edb3b2e2358099!8m2!3d29.6522754!4d-82.3454!16s%2Fg%2F1w3w3w3b!19sChIJt4Ungnij6IgRmYA14rKz7cE?authuser=0&hl=en&rclk=1
Lightnin' Salvage Enterprises,bars,A,I built a free website for Lightnin' Salvage Enterprises,https://florida-man-bioscience.github.io/demo-websites/generated-sites/lightnin-salvage-enterprises.html,yes,no,,"1800 NE 23rd Ave, Gainesville, FL 32609",4.9 (58),no,https://www.google.com/maps/place/Lightnin%27+Salvage+Enterprises/data=!4m7!3m6!1s0x88e8a41df63de6d1:0x4f326d09653ef306!8m2!3d29.6739711!4d-82.3019149!16s%2Fg%2F1s049mxbf!19sChIJ0eY99h2k6IgRBvM-ZQltMk8?authuser=0&hl=en&rclk=1
Downtown Fats,bars,A,I built a free website for Downtown Fats,https://florida-man-bioscience.github.io/demo-websites/generated-sites/downtown-fats.html,yes,no,,"112 S Main St, Gainesville, FL 32601",4.1 (24),no,https://www.google.com/maps/place/Downtown+Fats/data=!4m7!3m6!1s0x88e8a3e189bb00a1:0x97c75165d2659585!8m2!3d29.6505234!4d-82.3252862!16s%2Fg%2F11h_7yc7jn!19sChIJoQC7ieGj6IgRhZVl0mVRx5c?authuser=0&hl=en&rclk=1
The Egyptian Cafe,cafes,A,I built a free website for The Egyptian Cafe,https://florida-man-bioscience.github.io/demo-websites/generated-sites/the-egyptian-cafe.html,yes,yes,(352) 451-4386,"21 SE 2nd Pl, Gainesville, FL 32601",4.8 (40),no,https://www.google.com/maps/place/The+Egyptian+Cafe/data=!4m7!3m6!1s0x88e8a300456d6dfb:0x6e8bf65622f8ce77!8m2!3d29.6494792!4d-82.3243578!16s%2Fg%2F11yv2r5l94!19sChIJ-21tRQCj6IgRd874Ilb2i24?authuser=0&hl=en&rclk=1
Daydreamer+Cafe,cafes,A,I built a free website for Daydreamer+Cafe,https://florida-man-bioscience.github.io/demo-websites/generated-sites/daydreamer-cafe.html,yes,no,,"1225 W University Ave Ste 100, Gainesville, FL 32601",4.8 (191),no,https://www.google.com/maps/place/Daydreamer+Cafe/data=!4m7!3m6!1s0x88e8a3c30070168d:0xfc636881f6552d71!8m2!3d29.6518847!4d-82.3380119!16s%2Fg%2F11w7nt83s7!19sChIJjRZwAMOj6IgRcS1V9oFoY_w?authuser=0&hl=en&rclk=1
